_id,Condition,ICD10,ICD10QF,SMRType,FinancialYear,CA,CAQF,EASRStays,EASRPatients,EASRNewPatients,EASRNewPatientsQF,NumberOfStays,NumberOfStaysQF,NumberOfPatients,NumberOfPatientsQF,NumberOfNewPatients,NumberOfNewPatientsQF,AverageNumberOfStaysPerPatient
6758,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000042,"",204.3,157,88.5,"",273,"",210,"",120,"",1.3
6759,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000036,"",78.3,68.1,31.9,"",354,"",309,"",150,"",1.1
6760,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000014,"",79.5,68.5,44.3,"",126,"",108,"",69,"",1.2
6761,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000047,"",58.8,45.9,26.7,"",213,"",168,"",96,"",1.3
6762,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000049,"",98.5,87.2,52.9,"",570,"",501,"",306,"",1.1
6763,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000017,"",68.9,59.8,29.3,"",156,"",135,"",63,"",1.2
6764,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000018,"",240.3,192.7,82,"",195,"",156,"",66,"",1.3
6765,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000050,"",80.9,70,36.4,"",276,"",240,"",123,"",1.2
6766,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000029,"",65.1,55.6,35.7,"",204,"",174,"",111,"",1.2
6767,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000010,"",58,55.7,31.7,"",57,"",54,"",33,"",1.1
6768,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000040,"",60.9,50.2,23.8,"",108,"",90,"",42,"",1.2
6769,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000019,"",64.7,48.8,16.9,"",54,"",39,"",15,"",1.4
6770,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000020,"",7.4,7.4,4.2,"",6,"",6,"",3,"",1
6771,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000013,"",24.7,24.7,21.1,"",6,"",6,"",6,"",1
6772,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000023,"",0,0,0,"",0,"",0,"",0,"",0
6773,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000048,"",98.3,71.8,31.9,"",135,"",102,"",45,"",1.3
6774,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000038,"",101.3,90,47.6,"",177,"",159,"",84,"",1.1
6775,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000011,"",47,41.8,25.2,"",42,"",36,"",21,"",1.2
6776,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000027,"",0,0,0,"",0,"",0,"",0,"",0
6777,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2009/10,S12000030,"",62.9,55.8,39.3,"",51,"",45,"",33,"",1.1
6778,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000033,"",27.8,24.9,16.2,"",60,"",54,"",36,"",1.1
6779,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000034,"",16.2,13.7,11.5,"",42,"",36,"",30,"",1.2
6780,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000041,"",104.3,81.2,43.4,"",114,"",90,"",48,"",1.3
6781,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000035,"",40,35.9,20.1,"",36,"",30,"",18,"",1.2
6782,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000008,"",103.7,92,50.3,"",126,"",111,"",60,"",1.1
6783,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000021,"",118.8,101.4,49.2,"",159,"",135,"",66,"",1.2
6784,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000028,"",94,75.7,49.9,"",102,"",81,"",54,"",1.3
6785,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000026,"",49.9,46.4,25.9,"",54,"",51,"",27,"",1.1
6786,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000005,"",62.5,60.8,45.6,"",33,"",30,"",24,"",1.1
6787,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000006,"",100.6,75.2,48.1,"",138,"",105,"",66,"",1.3
6788,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000045,"",38.4,30.9,13.4,"",36,"",27,"",12,"",1.3
6789,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000039,"",65.7,58.4,42,"",57,"",51,"",36,"",1.1
6790,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000042,"",171.5,132.8,52.7,"",228,"",177,"",72,"",1.3
6791,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000036,"",77.8,69.2,36.7,"",351,"",315,"",168,"",1.1
6792,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000014,"",77,61.1,33.6,"",123,"",99,"",54,"",1.2
6793,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000047,"",39.7,32.1,18.4,"",141,"",114,"",63,"",1.2
6794,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000049,"",81.1,72.7,39.4,"",474,"",423,"",234,"",1.1
6795,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000017,"",82.9,73.3,43.2,"",189,"",168,"",99,"",1.1
6796,Mental & behavioural disorders due to use of alcohol: All,F10,d,SMR04,2010/11,S12000018,"",106.2,94.9,49,"",84,"",75,"",39,"",1.1
